,Stkcd,year,EX_INDAT_read,AT
299,000155,2016,,
300,000155,2017,,
301,000155,2018,23.0,50.0
302,000155,2019,16.0,3347.0
303,000155,2020,5.0,7902.0
304,000156,2016,,
305,000156,2017,,
306,000156,2018,3.0,13.0
307,000156,2019,4.0,3344.0
308,000156,2020,3.0,4047.0
309,000157,2016,,
310,000157,2017,,
311,000157,2018,15.0,38.0
312,000157,2019,9.0,7128.0
314,000158,2016,,
315,000158,2017,,
316,000158,2018,4.0,6.0
319,000159,2016,,
320,000159,2017,,
321,000159,2018,11.0,44.0
323,000159,2020,5.0,4113.0
324,000301,2016,,
325,000301,2017,,
326,000301,2018,3.0,8.0
327,000301,2019,3.0,1772.0
328,000301,2020,2.0,1438.0
329,000333,2016,,
330,000333,2017,,
331,000333,2018,22.0,62.0
334,000338,2016,,
335,000338,2017,,
336,000338,2018,11.0,84.0
339,000400,2016,,
340,000400,2017,,
341,000400,2018,22.0,9.0
342,000400,2019,22.0,3629.0
343,000400,2020,27.0,5297.0
344,000401,2016,,
345,000401,2017,,
346,000401,2018,10.0,194.0
347,000401,2019,10.0,8943.0
348,000401,2020,10.0,6806.0
349,000402,2016,,
350,000402,2017,,
351,000402,2018,19.0,47.0
352,000402,2019,15.0,1675.0
353,000402,2020,10.0,1013.0
354,000403,2016,,
355,000403,2017,,
356,000403,2018,26.0,26.0
357,000403,2019,17.0,1232.0
358,000403,2020,37.0,1798.0
359,000404,2016,,
360,000404,2017,,
361,000404,2018,6.0,11.0
362,000404,2019,10.0,2089.0
363,000404,2020,8.0,5161.0
364,000407,2016,,
365,000407,2017,,
366,000407,2018,3.0,10.0
367,000407,2019,1.0,2641.0
368,000407,2020,0.0,2185.0
369,000408,2016,,
370,000408,2017,,
371,000408,2018,23.0,58.0
373,000408,2020,12.0,5679.0
374,000409,2016,,
375,000409,2017,,
376,000409,2018,6.0,19.0
377,000409,2019,4.0,2133.0
378,000409,2020,2.0,1900.0
379,000411,2016,,
380,000411,2017,,
381,000411,2018,11.0,8.0
382,000411,2019,6.0,1144.0
384,000413,2016,,
385,000413,2017,,
386,000413,2018,51.0,105.0
389,000415,2016,,
390,000415,2017,,
391,000415,2018,0.0,39.0
392,000415,2019,0.0,5436.0
393,000415,2020,0.0,3907.0
394,000417,2016,,
