,Stkcd,year,ACCM
149,000096,2020,0.0369491957539532
150,000099,2018,0.0521525562707617
151,000099,2019,0.107280205168363
152,000099,2020,0.0467715694327556
153,000100,2018,0.0421275629205415
154,000100,2019,0.0383418203922757
155,000100,2020,0.0639325212053218
156,000150,2018,0.0413646296979525
157,000151,2018,0.276900377711275
158,000151,2019,0.208002138674819
159,000151,2020,0.131860408043609
160,000153,2018,0.0573623501952956
161,000153,2019,0.00621227231342444
162,000153,2020,0.0667118091320571
163,000155,2018,0.0858410596681288
164,000155,2019,0.0417627653761947
165,000155,2020,0.0361900079183718
166,000156,2018,0.0468060972358269
167,000157,2018,0.0527936885755469
168,000157,2019,0.0419852089407585
169,000157,2020,0.0494097891645856
170,000158,2018,0.0871681404693931
171,000158,2019,0.0416726124621983
172,000158,2020,0.0560987628330114
173,000159,2018,0.00648527311449194
174,000159,2019,0.0338194421202307
175,000159,2020,0.00768157232258029
176,000301,2018,0.0509668720883437
177,000301,2019,0.133640974472272
178,000301,2020,0.044333111111636
179,000333,2018,0.0381194644857344
180,000338,2018,0.0642413728026014
181,000338,2019,0.0817337535874274
182,000338,2020,0.0544210831619022
183,000400,2018,0.0207527949588554
184,000400,2019,0.0445369863618394
185,000400,2020,0.00706245890089585
186,000401,2018,0.129856219068281
187,000401,2019,0.0851893936935599
188,000401,2020,0.102148430563609
189,000402,2018,0.088945834623407
190,000403,2018,0.0337612031074306
191,000404,2018,0.0356824524234195
192,000404,2019,0.077357055121604
193,000404,2020,0.0161323702426124
194,000405,2018,0.0195296662475366
195,000407,2018,0.00702981917174155
196,000407,2019,0.0782197649635191
197,000407,2020,0.0383299428963665
198,000408,2018,0.0573122741071076
199,000409,2018,0.171220082497456
200,000409,2019,0.0792559875589685
201,000410,2018,0.027296546473675
202,000411,2018,1.52116778226549e-05
203,000411,2019,0.0228154161455385
204,000413,2018,0.00931842504738843
205,000415,2018,0.0955124468927797
206,000416,2018,0.0463347960218227
207,000416,2019,1.43805905191418e-05
208,000416,2020,0.0025260670438284
209,000417,2018,0.0411705577656767
210,000417,2019,0.0464847841409028
