,Stkcd,Time,INS
225,000065,2017-12-31,0.731688
226,000065,2018-12-31,0.6875560000000001
227,000065,2019-12-31,0.686214
228,000065,2020-12-31,0.668808
229,000066,2016-12-31,0.5740350000000001
230,000066,2017-12-31,0.44833599999999996
231,000066,2018-12-31,0.471575
232,000066,2019-12-31,0.537153
233,000066,2020-12-31,0.516804
234,000068,2016-12-31,0.530232
235,000068,2017-12-31,0.522115
236,000068,2018-12-31,0.49826099999999995
237,000068,2019-12-31,0.47035899999999997
238,000068,2020-12-31,0.4525
239,000069,2016-12-31,0.752866
240,000069,2017-12-31,0.7561490000000001
241,000069,2018-12-31,0.7519119999999999
242,000069,2019-12-31,0.7115260000000001
243,000069,2020-12-31,0.662499
244,000070,2016-12-31,0.584696
245,000070,2017-12-31,0.487524
246,000070,2018-12-31,0.48596400000000006
247,000070,2019-12-31,0.42288600000000004
248,000070,2020-12-31,0.44229999999999997
249,000078,2016-12-31,0.49754600000000004
250,000078,2017-12-31,0.528701
251,000078,2018-12-31,0.49611600000000006
252,000078,2019-12-31,0.47871
253,000078,2020-12-31,0.453697
254,000088,2016-12-31,0.783706
255,000088,2017-12-31,0.78235
256,000088,2018-12-31,0.7821899999999999
257,000088,2019-12-31,0.782356
258,000088,2020-12-31,0.782744
259,000089,2016-12-31,0.7009430000000001
260,000089,2017-12-31,0.730239
261,000089,2018-12-31,0.727252
262,000089,2019-12-31,0.6952119999999999
263,000089,2020-12-31,0.669127
264,000090,2016-12-31,0.62034
265,000090,2017-12-31,0.622924
266,000090,2018-12-31,0.5918289999999999
267,000090,2019-12-31,0.5502440000000001
268,000090,2020-12-31,0.500475
269,000096,2016-12-31,0.5735990000000001
270,000096,2017-12-31,0.645521
271,000096,2018-12-31,0.666977
272,000096,2019-12-31,0.689841
273,000096,2020-12-31,0.6841030000000001
274,000099,2016-12-31,0.45969299999999996
275,000099,2017-12-31,0.46049500000000004
276,000099,2018-12-31,0.43037100000000006
277,000099,2019-12-31,0.437602
278,000099,2020-12-31,0.43337400000000004
279,000100,2016-12-31,0.398419
280,000100,2017-12-31,0.43335
281,000100,2018-12-31,0.363103
282,000100,2019-12-31,0.29844000000000004
283,000100,2020-12-31,0.284481
284,000150,2016-12-31,0.572385
285,000150,2017-12-31,0.560897
286,000150,2018-12-31,0.509059
287,000150,2019-12-31,0.487938
288,000150,2020-12-31,0.48057000000000005
289,000151,2016-12-31,0.45920000000000005
290,000151,2017-12-31,0.460751
291,000151,2018-12-31,0.465403
292,000151,2019-12-31,0.467805
293,000151,2020-12-31,0.45800199999999996
294,000153,2016-12-31,0.338845
295,000153,2017-12-31,0.320801
296,000153,2018-12-31,0.339893
297,000153,2019-12-31,0.32670000000000005
298,000153,2020-12-31,0.32670000000000005
299,000155,2016-12-31,0.7095220000000001
300,000155,2017-12-31,0.582863
301,000155,2018-12-31,0.530875
302,000155,2019-12-31,0.549489
303,000155,2020-12-31,0.488053
304,000156,2016-12-31,0.821756
305,000156,2017-12-31,0.7912210000000001
306,000156,2018-12-31,0.7601390000000001
307,000156,2019-12-31,0.735748
308,000156,2020-12-31,0.6272650000000001
309,000157,2016-12-31,0.5502980000000001
310,000157,2017-12-31,0.524974
311,000157,2018-12-31,0.535375
312,000157,2019-12-31,0.654302
313,000157,2020-12-31,0.661569
314,000158,2016-12-31,0.6177900000000001
315,000158,2017-12-31,0.6167750000000001
316,000158,2018-12-31,0.624306
317,000158,2019-12-31,0.51963
318,000158,2020-12-31,0.487966
319,000159,2016-12-31,0.32766599999999996
320,000159,2017-12-31,0.301341
321,000159,2018-12-31,0.306158
322,000159,2019-12-31,0.2493
323,000159,2020-12-31,0.236875
324,000301,2016-12-31,0.38719000000000003
325,000301,2017-12-31,0.38007199999999997
326,000301,2018-12-31,0.8203140000000001
327,000301,2019-12-31,0.824504
328,000301,2020-12-31,0.866566
329,000333,2016-12-31,0.512664
330,000333,2017-12-31,0.5870259999999999
331,000333,2018-12-31,0.619255
332,000333,2019-12-31,0.629355
333,000333,2020-12-31,0.647128
334,000338,2016-12-31,0.577433
335,000338,2017-12-31,0.616085
336,000338,2018-12-31,0.622635
337,000338,2019-12-31,0.6591549999999999
338,000338,2020-12-31,0.65925
339,000400,2016-12-31,0.619698
340,000400,2017-12-31,0.552878
341,000400,2018-12-31,0.550512
342,000400,2019-12-31,0.569649
343,000400,2020-12-31,0.600572
344,000401,2016-12-31,0.744778
345,000401,2017-12-31,0.43923
346,000401,2018-12-31,0.493636
347,000401,2019-12-31,0.499291
348,000401,2020-12-31,0.478005
349,000402,2016-12-31,0.699284
350,000402,2017-12-31,0.7206239999999999
351,000402,2018-12-31,0.714742
352,000402,2019-12-31,0.762017
353,000402,2020-12-31,0.746552
354,000403,2016-12-31,0.467422
355,000403,2017-12-31,0.5855250000000001
356,000403,2018-12-31,0.557007
357,000403,2019-12-31,0.593426
358,000403,2020-12-31,0.624755
359,000404,2016-12-31,0.45948
360,000404,2017-12-31,0.343645
361,000404,2018-12-31,0.35515700000000006
362,000404,2019-12-31,0.369487
363,000404,2020-12-31,0.36004600000000003
364,000407,2016-12-31,0.363458
365,000407,2017-12-31,0.37453600000000004
366,000407,2018-12-31,0.30615200000000004
367,000407,2019-12-31,0.293113
368,000407,2020-12-31,0.327
369,000408,2016-12-31,0.7025
370,000408,2017-12-31,0.6945279999999999
371,000408,2018-12-31,0.718213
372,000408,2019-12-31,0.6941700000000001
373,000408,2020-12-31,0.7195659999999999
374,000409,2016-12-31,0.415006
375,000409,2017-12-31,0.423912
376,000409,2018-12-31,0.4155
377,000409,2019-12-31,0.394687
378,000409,2020-12-31,0.3714
379,000411,2016-12-31,0.711716
380,000411,2017-12-31,0.691809
381,000411,2018-12-31,0.693134
382,000411,2019-12-31,0.684173
383,000411,2020-12-31,0.653895
384,000413,2016-12-31,0.48393
385,000413,2017-12-31,0.42761699999999997
386,000413,2018-12-31,0.368761
387,000413,2019-12-31,0.321199
388,000413,2020-12-31,0.272768
389,000415,2016-12-31,0.7949970000000001
390,000415,2017-12-31,0.8025
391,000415,2018-12-31,0.7910550000000001
392,000415,2019-12-31,0.7441180000000001
393,000415,2020-12-31,0.7201130000000001
394,000417,2016-12-31,0.539917
395,000417,2017-12-31,0.583005
396,000417,2018-12-31,0.569855
397,000417,2019-12-31,0.539604
398,000417,2020-12-31,0.572374
399,000418,2016-12-31,0.7512800000000001
400,000418,2017-12-31,0.781454
401,000418,2018-12-31,0.779525
402,000419,2016-12-31,0.476295
403,000419,2017-12-31,0.475047
404,000419,2018-12-31,0.476563
405,000419,2019-12-31,0.477889
406,000419,2020-12-31,0.46765500000000004
407,000420,2016-12-31,0.49745100000000003
408,000420,2017-12-31,0.466606
409,000420,2018-12-31,0.42877600000000005
410,000420,2019-12-31,0.491508
411,000420,2020-12-31,0.454505
412,000421,2016-12-31,0.64605
413,000421,2017-12-31,0.582267
414,000421,2018-12-31,0.580591
415,000421,2019-12-31,0.5757
416,000421,2020-12-31,0.5743
