,Stkcd,Time,ROA_TTM
239,000069,2016-12-31,0.055892
240,000069,2017-12-31,0.051227
241,000069,2018-12-31,0.04415
242,000069,2019-12-31,0.042572
243,000069,2020-12-31,0.037605
244,000070,2016-12-31,0.050289
245,000070,2017-12-31,0.053362
246,000070,2018-12-31,0.045921
247,000070,2019-12-31,0.045627
248,000070,2020-12-31,0.006392
249,000078,2016-12-31,0.033908
250,000078,2017-12-31,0.034667
251,000078,2018-12-31,0.020284
252,000078,2019-12-31,0.012514
253,000078,2020-12-31,-0.001021
254,000088,2016-12-31,0.047694
255,000088,2017-12-31,0.049319
256,000088,2018-12-31,0.049553
257,000088,2019-12-31,0.03699
258,000088,2020-12-31,0.031767
259,000089,2016-12-31,0.04706
260,000089,2017-12-31,0.052743
261,000089,2018-12-31,0.051321
262,000089,2019-12-31,0.044083
263,000089,2020-12-31,0.002641
264,000090,2016-12-31,0.024893
265,000090,2017-12-31,0.026539
266,000090,2018-12-31,0.026954
267,000090,2019-12-31,0.034242
268,000090,2020-12-31,0.033339
269,000096,2016-12-31,0.127754
270,000096,2017-12-31,0.062204
271,000096,2018-12-31,0.042965
272,000096,2019-12-31,0.046118
273,000096,2020-12-31,0.044185
274,000099,2016-12-31,0.018204
275,000099,2017-12-31,0.01818
276,000099,2018-12-31,0.028206
277,000099,2019-12-31,0.036638
278,000099,2020-12-31,0.037552
279,000100,2016-12-31,0.016513
280,000100,2017-12-31,0.02306
281,000100,2018-12-31,0.023029
282,000100,2019-12-31,0.020457
283,000100,2020-12-31,0.023963
284,000150,2016-12-31,0.126427
285,000150,2017-12-31,0.024873
286,000150,2018-12-31,0.025252
287,000150,2019-12-31,-0.218447
288,000150,2020-12-31,-0.111263
289,000151,2016-12-31,0.044994
290,000151,2017-12-31,0.041858
291,000151,2018-12-31,0.038671
292,000151,2019-12-31,0.003847
293,000151,2020-12-31,-0.138514
294,000153,2016-12-31,0.019064
295,000153,2017-12-31,0.024856
296,000153,2018-12-31,0.021022
297,000153,2019-12-31,0.024548
298,000153,2020-12-31,0.028377
299,000155,2016-12-31,0.472552
300,000155,2017-12-31,0.078444
301,000155,2018-12-31,0.058645
302,000155,2019-12-31,0.045518
303,000155,2020-12-31,0.035639
304,000156,2016-12-31,0.044976
305,000156,2017-12-31,0.04507
306,000156,2018-12-31,0.044181
307,000156,2019-12-31,0.042379
308,000156,2020-12-31,0.048601
309,000157,2016-12-31,-0.009896
310,000157,2017-12-31,0.014487
311,000157,2018-12-31,0.022158
312,000157,2019-12-31,0.046087
313,000157,2020-12-31,0.070607
314,000158,2016-12-31,0.029225
315,000158,2017-12-31,0.027744
316,000158,2018-12-31,0.013585
317,000158,2019-12-31,0.006729
318,000158,2020-12-31,0.007374
319,000159,2016-12-31,0.011826
320,000159,2017-12-31,-0.023117
321,000159,2018-12-31,0.01725
322,000159,2019-12-31,0.009379
323,000159,2020-12-31,0.030929
324,000301,2016-12-31,0.031402
325,000301,2017-12-31,0.048601
326,000301,2018-12-31,0.064418
327,000301,2019-12-31,0.056655
328,000301,2020-12-31,0.006384
329,000333,2016-12-31,0.105943
330,000333,2017-12-31,0.088898
331,000333,2018-12-31,0.084604
