,Stkcd,year,DUVOL,ControlDUVOL
95,000045,2019,0.155088221918321,-1.1049968320587489
96,000045,2020,-0.6052207538251004,0.155088221918321
97,000048,2018,-1.5234775815871917,-0.2832694358762873
98,000048,2019,-0.6901421480312596,-1.5234775815871917
99,000048,2020,-0.6320529839391341,-0.6901421480312596
100,000049,2018,-1.8024439254494544,-1.1404686571557496
101,000049,2019,-2.022334687980796,-1.8024439254494544
102,000049,2020,-0.6031862866698922,-2.022334687980796
103,000050,2018,-0.94479791326662,-0.0320882101010666
104,000050,2019,-0.5187911579665148,-0.94479791326662
105,000050,2020,-0.305720094667016,-0.5187911579665148
106,000055,2018,-0.7431272757603921,-1.2708890553064582
107,000055,2019,-0.7923395104137628,-0.7431272757603921
108,000055,2020,-0.9251546981976442,-0.7923395104137628
109,000056,2018,-1.7980372949527823,1.18326327272049
110,000056,2019,0.17621673563666335,-1.7980372949527823
111,000056,2020,-1.3712423957467446,0.17621673563666335
112,000058,2018,-2.2831254347773493,-1.2356790207269217
113,000058,2019,-0.12782255552011293,-2.2831254347773493
114,000058,2020,-0.3856292561805768,-0.12782255552011293
115,000059,2018,-0.08195981980401944,-0.04979233532948098
116,000059,2019,-0.8323735047111498,-0.08195981980401944
117,000059,2020,0.17737040730005738,-0.8323735047111498
118,000060,2018,-1.0574352134003535,-0.11269012838779092
119,000060,2019,-0.3895403736813085,-1.0574352134003535
120,000060,2020,-0.4892920026392221,-0.3895403736813085
121,000061,2018,-0.446827400398766,-0.2312432789433852
122,000061,2019,-1.1918293723177902,-0.446827400398766
123,000061,2020,-0.11574950021960499,-1.1918293723177902
124,000062,2018,-0.2355269048799258,-0.4288446178915317
125,000062,2019,-0.5419147191542881,-0.2355269048799258
126,000062,2020,-0.8066268913637861,-0.5419147191542881
127,000063,2018,-1.1043977929557631,1.0404091118939176
128,000063,2019,-0.4830152189798546,-1.1043977929557631
129,000063,2020,-0.4009159898161696,-0.4830152189798546
130,000065,2018,-1.0454391468625075,-0.739661307986004
131,000065,2019,0.32883082004528885,-1.0454391468625075
132,000065,2020,-1.3995546061553772,0.32883082004528885
133,000066,2018,-1.2981047422545482,-0.3123208034160614
134,000066,2019,-1.0434512227879549,-1.2981047422545482
135,000066,2020,-0.03128100295605823,-1.0434512227879549
136,000068,2018,-1.029339715442713,-1.9040562035356943
137,000068,2019,-0.5208889910726743,-1.029339715442713
138,000068,2020,0.2419547452682577,-0.5208889910726743
