,Stkcd,Time,Dturn
229,000151,2020-12-31,-0.18524825
230,000153,2017-12-31,-0.19566799999999995
231,000153,2018-12-31,-0.03789741666666674
232,000153,2019-12-31,0.10851275000000005
233,000153,2020-12-31,0.5889758333333334
234,000155,2018-12-31,-0.6937723333333332
235,000155,2019-12-31,-0.1436696666666667
236,000155,2020-12-31,0.2356795
237,000156,2017-12-31,-0.05170866666666668
238,000156,2018-12-31,0.013722095238095255
239,000156,2019-12-31,0.06473007142857141
240,000156,2020-12-31,0.10280900000000001
241,000157,2017-12-31,0.019307000000000032
242,000157,2018-12-31,-0.058035000000000045
243,000157,2019-12-31,0.07853483333333335
244,000157,2020-12-31,0.06966191666666668
245,000158,2017-12-31,0.34156108333333346
246,000158,2018-12-31,-0.3462360000000002
247,000158,2019-12-31,0.13257658333333336
248,000158,2020-12-31,0.4951238333333334
249,000159,2017-12-31,0.007181333333333373
250,000159,2018-12-31,-0.2814575000000001
251,000159,2019-12-31,1.106141
252,000159,2020-12-31,-0.6316371666666666
253,000301,2017-12-31,-0.07219266666666663
254,000301,2018-12-31,-0.09844150000000004
255,000301,2019-12-31,-0.04303624999999997
256,000301,2020-12-31,0.09897008333333332
257,000333,2017-12-31,0.0044509166666666655
258,000333,2018-12-31,-0.021305249999999998
259,000333,2019-12-31,-0.010089666666666663
260,000333,2020-12-31,0.0007689999999999919
261,000338,2017-12-31,-0.03126758333333335
262,000338,2018-12-31,-0.06303541666666668
263,000338,2019-12-31,0.045953833333333305
264,000338,2020-12-31,-0.01231816666666663
265,000400,2017-12-31,-0.12216333333333337
266,000400,2018-12-31,0.026901166666666698
267,000400,2019-12-31,0.07369641666666668
268,000400,2020-12-31,0.21491300000000002
269,000401,2017-12-31,0.5945005454545454
270,000401,2018-12-31,-0.3792071287878788
271,000401,2019-12-31,0.04676699999999995
272,000401,2020-12-31,0.0038201666666666245
273,000402,2017-12-31,-0.004683416666666662
274,000402,2018-12-31,-0.06046750000000002
275,000402,2019-12-31,-0.017967833333333322
276,000402,2020-12-31,-0.00763291666666667
277,000403,2017-12-31,-0.19451549999999998
278,000403,2018-12-31,-0.13863225
279,000403,2019-12-31,0.05085783333333334
280,000403,2020-12-31,0.10542141666666664
281,000404,2017-12-31,0.03979616666666669
282,000404,2018-12-31,-0.149471
283,000404,2019-12-31,0.02369166666666661
284,000404,2020-12-31,0.2212645833333334
285,000407,2017-12-31,-1.1456798333333331
286,000407,2018-12-31,-0.0026615833333333283
287,000407,2019-12-31,-0.022523833333333465
288,000407,2020-12-31,0.017652583333333416
289,000408,2017-12-31,0.28381608333333336
290,000408,2018-12-31,-0.16354481060606066
291,000408,2019-12-31,0.2607741439393938
292,000408,2020-12-31,-0.11779149999999983
293,000409,2017-12-31,-0.3704632499999999
294,000409,2018-12-31,-0.2295033863636364
295,000409,2019-12-31,0.06136330303030299
296,000409,2020-12-31,-0.0836388333333333
297,000411,2017-12-31,-0.027266666666666634
298,000411,2018-12-31,0.11679741666666665
299,000411,2019-12-31,-0.03969441666666665
300,000411,2020-12-31,0.7662429166666667
301,000413,2017-12-31,-0.16137854545454555
302,000413,2018-12-31,-0.2573252045454545
303,000413,2019-12-31,0.25650283333333324
304,000413,2020-12-31,0.01673074999999996
305,000415,2017-12-31,0.03561541666666668
306,000415,2018-12-31,-0.008406845238095248
307,000415,2019-12-31,0.040594761904761925
308,000415,2020-12-31,-0.006036000000000014
309,000417,2017-12-31,-0.30593916666666665
310,000417,2018-12-31,-0.09676208333333332
311,000417,2019-12-31,0.07983125
312,000417,2020-12-31,0.11908683333333339
313,000418,2017-12-31,-0.006155583333333325
314,000418,2018-12-31,-0.0046997500000000025
315,000418,2019-12-31,0.013468333333333332
316,000419,2017-12-31,-0.21751925000000003
317,000419,2018-12-31,-0.05938408333333332
318,000419,2019-12-31,0.043244250000000026
319,000419,2020-12-31,0.040136249999999984
320,000420,2017-12-31,-0.05460341666666668
321,000420,2018-12-31,-0.1984878333333333
322,000420,2019-12-31,0.05909299999999999
323,000420,2020-12-31,0.2091875
324,000421,2017-12-31,-0.017829583333333315
325,000421,2018-12-31,-0.043355500000000005
326,000421,2019-12-31,-0.01743616666666667
327,000421,2020-12-31,0.32589175
328,000422,2017-12-31,-0.14086133333333328
329,000422,2018-12-31,-0.17363549999999997
330,000422,2019-12-31,-0.031628500000000004
331,000422,2020-12-31,-0.0890839166666667
332,000423,2017-12-31,0.006988833333333305
333,000423,2018-12-31,-0.09188424999999997
334,000423,2019-12-31,0.03713441666666667
335,000423,2020-12-31,0.044548166666666694
336,000425,2017-12-31,0.09712875
337,000425,2018-12-31,-0.01060400000000003
338,000425,2019-12-31,0.0314673333333334
339,000425,2020-12-31,0.05991441666666658
340,000426,2017-12-31,0.05769716666666666
341,000426,2018-12-31,0.005814378787878771
342,000426,2019-12-31,0.2384836212121213
343,000426,2020-12-31,-0.15198041666666678
344,000428,2017-12-31,-0.02550916666666664
345,000428,2018-12-31,-0.08782275000000002
346,000428,2019-12-31,0.004695749999999985
347,000428,2020-12-31,0.21397708333333337
348,000429,2017-12-31,0.23386549999999998
349,000429,2018-12-31,-0.2907799999999999
350,000429,2019-12-31,-0.0025390000000000135
351,000429,2020-12-31,-0.11342333333333335
352,000430,2017-12-31,-0.02714233333333335
353,000430,2018-12-31,-0.13033491666666666
354,000430,2019-12-31,0.04335599999999998
355,000430,2020-12-31,0.11436624999999997
356,000488,2017-12-31,-0.44648033333333326
357,000488,2018-12-31,-0.20871716666666684
358,000488,2019-12-31,-0.08027866666666661
359,000488,2020-12-31,0.179255
360,000498,2017-12-31,-0.1897711666666666
361,000498,2018-12-31,0.15738574999999988
362,000498,2019-12-31,-0.3139001666666666
363,000498,2020-12-31,-0.16760175000000002
364,000501,2017-12-31,-0.15521383333333336
365,000501,2018-12-31,-0.06112858333333332
366,000501,2019-12-31,-0.0007002499999999579
367,000501,2020-12-31,0.44250775
368,000503,2017-12-31,-0.025038333333333357
369,000503,2018-12-31,0.05739074999999996
370,000503,2019-12-31,0.05920158333333336
371,000503,2020-12-31,-0.06549241666666661
372,000504,2017-12-31,0.031471125000000016
373,000504,2018-12-31,-0.07758145833333335
374,000504,2019-12-31,-0.033233916666666655
375,000504,2020-12-31,-0.012215583333333321
376,000505,2017-12-31,-0.09055674999999999
377,000505,2018-12-31,0.20681924999999993
378,000505,2019-12-31,0.12047875000000013
379,000505,2020-12-31,1.0387695000000003
380,000506,2017-12-31,-0.40391042857142856
381,000506,2018-12-31,0.17348598412698413
382,000506,2019-12-31,0.283725277777778
383,000506,2020-12-31,-0.23483308333333364
384,000507,2017-12-31,1.02459
385,000507,2018-12-31,-0.7614601666666665
386,000507,2019-12-31,-0.12074649999999992
387,000507,2020-12-31,-0.13236675000000006
388,000510,2017-12-31,-1.60738975
389,000510,2018-12-31,-0.23548516666666663
390,000510,2019-12-31,0.1318933333333333
391,000510,2020-12-31,0.1521761666666666
392,000511,2017-12-31,-0.6364385
393,000511,2018-12-31,-0.24462899999999999
394,000513,2017-12-31,0.06990333333333335
395,000513,2018-12-31,0.03746099999999994
396,000513,2019-12-31,0.02708850000000007
397,000513,2020-12-31,0.04602683333333324
398,000514,2017-12-31,-1.158151
399,000514,2018-12-31,-0.32650691666666665
400,000514,2019-12-31,0.08652966666666667
401,000514,2020-12-31,-0.06064116666666666
402,000517,2017-12-31,-0.07971783333333332
403,000517,2018-12-31,0.1407221666666667
404,000517,2019-12-31,-0.05710283333333338
405,000517,2020-12-31,0.018620583333333357
406,000518,2017-12-31,-0.3467428333333333
407,000518,2018-12-31,-0.037989750000000044
408,000518,2019-12-31,0.23226641666666664
409,000518,2020-12-31,0.5477620000000002
410,000519,2017-12-31,-0.3990855833333332
411,000519,2018-12-31,-0.27993575000000015
412,000519,2019-12-31,0.16198408333333347
413,000519,2020-12-31,0.17791916666666663
414,000520,2017-12-31,-0.2502365
415,000520,2018-12-31,-0.08047725000000003
416,000520,2019-12-31,0.09309158333333337
417,000520,2020-12-31,-0.16599616666666667
418,000521,2017-12-31,-0.014158333333333328
419,000521,2018-12-31,-0.0393195833333333
420,000521,2019-12-31,0.1432875833333333
421,000521,2020-12-31,0.33996624999999997
422,000524,2017-12-31,0.045345833333333335
423,000524,2018-12-31,-0.17163591666666667
424,000524,2019-12-31,0.10209549999999998
425,000524,2020-12-31,0.15405541666666664
426,000526,2017-12-31,-0.07239775000000004
427,000526,2018-12-31,0.2365140833333334
428,000526,2019-12-31,-0.1088758333333334
429,000526,2020-12-31,0.05350991666666671
430,000528,2017-12-31,0.1320345
431,000528,2018-12-31,0.18934266666666666
432,000528,2019-12-31,-0.17501741666666665
433,000528,2020-12-31,0.022312749999999992
434,000529,2017-12-31,-0.072209
435,000529,2018-12-31,-0.031129249999999997
436,000529,2019-12-31,0.3108975833333334
437,000529,2020-12-31,-0.06576483333333338
438,000530,2017-12-31,-0.15955616666666678
439,000530,2018-12-31,-0.07282099999999991
440,000530,2019-12-31,0.11193024999999995
441,000530,2020-12-31,-0.08750733333333327
442,000531,2018-12-31,-0.07445025
443,000531,2019-12-31,0.24222891666666665
444,000531,2020-12-31,-0.06914458333333334
445,000532,2017-12-31,-0.20061175000000003
446,000532,2018-12-31,0.3884099166666666
447,000532,2019-12-31,0.04619066666666671
448,000532,2020-12-31,-0.1048534166666667
449,000533,2017-12-31,-0.16480941666666668
450,000533,2018-12-31,0.38160381666666665
451,000533,2019-12-31,0.13893976666666674
452,000533,2020-12-31,-0.21944150000000018
