,Stkcd,Time,BP
302,000158,2020-12-31,0.796192
303,000159,2016-12-31,0.623012
304,000159,2017-12-31,0.873267
305,000159,2018-12-31,1.042237
306,000159,2019-12-31,0.836457
307,000159,2020-12-31,0.909347
308,000301,2016-12-31,0.619518
309,000301,2017-12-31,0.605306
310,000301,2018-12-31,0.888884
311,000301,2019-12-31,0.954139
312,000301,2020-12-31,0.917179
313,000333,2016-12-31,0.612159
314,000333,2017-12-31,0.477323
315,000333,2018-12-31,0.63981
316,000333,2019-12-31,0.508781
317,000333,2020-12-31,0.394548
318,000338,2016-12-31,1.015842
319,000338,2017-12-31,0.971414
320,000338,2018-12-31,1.00179
321,000338,2019-12-31,0.887311
322,000338,2020-12-31,0.918609
323,000400,2016-12-31,0.645235
324,000400,2017-12-31,0.747384
325,000400,2018-12-31,0.959776
326,000400,2019-12-31,0.873629
327,000400,2020-12-31,0.757475
328,000401,2016-12-31,0.895001
329,000401,2018-12-31,1.130302
330,000401,2019-12-31,1.107906
331,000401,2020-12-31,1.285138
332,000402,2016-12-31,1.003071
333,000402,2017-12-31,1.004002
334,000402,2018-12-31,1.137393
335,000402,2019-12-31,1.099838
336,000402,2020-12-31,1.137989
337,000403,2016-12-31,0.180475
338,000403,2017-12-31,0.153417
339,000403,2018-12-31,0.17819
340,000403,2019-12-31,0.137626
341,000403,2020-12-31,0.086037
342,000404,2016-12-31,0.776003
343,000404,2017-12-31,0.960247
344,000404,2018-12-31,1.177977
345,000404,2019-12-31,1.17272
346,000404,2020-12-31,1.088107
347,000407,2016-12-31,0.504326
348,000407,2017-12-31,0.596647
349,000407,2018-12-31,0.930903
350,000407,2019-12-31,0.967305
351,000407,2020-12-31,0.889972
352,000408,2016-12-31,0.704617
353,000408,2017-12-31,0.54592
354,000408,2018-12-31,0.737207
355,000408,2019-12-31,0.856428
356,000408,2020-12-31,0.819411
357,000409,2016-12-31,0.604416
358,000409,2017-12-31,0.828811
359,000409,2018-12-31,0.890688
360,000409,2019-12-31,0.802906
361,000409,2020-12-31,0.454075
362,000411,2016-12-31,0.707696
363,000411,2017-12-31,0.803482
364,000411,2018-12-31,0.943509
365,000411,2019-12-31,0.995528
366,000411,2020-12-31,0.892999
367,000413,2016-12-31,0.701493
368,000413,2017-12-31,0.817715
369,000413,2018-12-31,1.106995
370,000413,2019-12-31,1.200183
371,000413,2020-12-31,1.246239
372,000415,2016-12-31,0.985149
373,000415,2017-12-31,0.99965
374,000415,2018-12-31,1.070527
375,000415,2019-12-31,1.071957
376,000415,2020-12-31,1.065225
377,000417,2016-12-31,0.780664
